Chr	Start	End	SNP Density
chr1A	0	5935491	2.5271708776915e-06
chr1A	5935491	11870982	4.5489075798447005e-06
chr1A	11870982	17806473	4.885863696870234e-06
chr1A	17806473	23741964	2.3586928191787335e-06
chr1A	23741964	29677455	3.0326050532298e-06
chr1A	29677455	35612946	1.8532586436404335e-06
chr1A	35612946	41548437	1.3478244681021334e-06
chr1A	41548437	47483928	1.0108683510766002e-06
chr1A	47483928	53419419	1.8532586436404335e-06
chr1A	53419419	59354910	1.3478244681021334e-06
chr1A	59354910	65290401	6.739122340510667e-07
chr1A	65290401	71225892	3.3695611702553335e-07
chr1A	71225892	77161383	3.3695611702553335e-07
chr1A	77161383	83096874	1.6847805851276667e-07
chr1A	83096874	89032365	1.6847805851276667e-07
chr1A	89032365	94967856	1.1793464095893668e-06
chr1A	94967856	100903347	1.1793464095893668e-06
chr1A	100903347	106838838	8.423902925638334e-07
chr1A	106838838	112774329	1.1793464095893668e-06
chr1A	112774329	118709820	1.6847805851276667e-07
chr1A	118709820	124645311	1.6847805851276667e-07
chr1A	124645311	130580802	1.6847805851276667e-07
chr1A	130580802	136516293	1.6847805851276667e-07
chr1A	136516293	142451784	0.0
chr1A	142451784	148387275	0.0
chr1A	148387275	154322766	0.0
chr1A	154322766	160258257	3.3695611702553335e-07
chr1A	160258257	166193748	5.054341755383001e-07
chr1A	166193748	172129239	0.0
chr1A	172129239	178064730	0.0
chr1A	178064730	184000221	0.0
chr1A	184000221	189935712	0.0
chr1A	189935712	195871203	0.0
chr1A	195871203	201806694	0.0
chr1A	201806694	207742185	0.0
chr1A	207742185	213677676	0.0
chr1A	213677676	219613167	0.0
chr1A	219613167	225548658	0.0
chr1A	225548658	231484149	0.0
chr1A	231484149	237419640	0.0
chr1A	237419640	243355131	0.0
chr1A	243355131	249290622	0.0
chr1A	249290622	255226113	0.0
chr1A	255226113	261161604	0.0
chr1A	261161604	267097095	0.0
chr1A	267097095	273032586	0.0
chr1A	273032586	278968077	0.0
chr1A	278968077	284903568	0.0
chr1A	284903568	290839059	0.0
chr1A	290839059	296774550	0.0
chr1A	296774550	302710041	1.6847805851276669e-06
chr1A	302710041	308645532	1.0108683510766002e-06
chr1A	308645532	314581023	6.739122340510667e-07
chr1A	314581023	320516514	0.0
chr1A	320516514	326452005	0.0
chr1A	326452005	332387496	0.0
chr1A	332387496	338322987	0.0
chr1A	338322987	344258478	0.0
chr1A	344258478	350193969	5.054341755383001e-07
chr1A	350193969	356129460	2.5271708776915e-06
chr1A	356129460	362064951	3.3695611702553335e-07
chr1A	362064951	368000442	1.6847805851276667e-07
chr1A	368000442	373935933	1.3478244681021334e-06
chr1A	373935933	379871424	1.0108683510766002e-06
chr1A	379871424	385806915	8.423902925638334e-07
