Group	Chr	Start	End	Recombination Rate
unmerged	chr1A	0	5935491	8.385736375166187e-07
unmerged	chr1A	5935491	11870982	1.7665660504251263e-06
unmerged	chr1A	11870982	17806473	1.5441095848160362e-06
unmerged	chr1A	17806473	23741964	8.358474553400366e-07
unmerged	chr1A	23741964	29677455	1.076841959749884e-06
unmerged	chr1A	29677455	35612946	7.70419083102069e-07
unmerged	chr1A	35612946	41548437	4.885318460434917e-07
unmerged	chr1A	41548437	47483928	3.7457743106236477e-07
unmerged	chr1A	47483928	53419419	8.914615717423091e-07
unmerged	chr1A	53419419	59354910	2.5953254321060496e-07
unmerged	chr1A	59354910	65290401	7.524262807366278e-08
unmerged	chr1A	65290401	71225892	8.014975599151036e-08
unmerged	chr1A	71225892	77161383	1.3630910882909927e-08
unmerged	chr1A	77161383	83096874	0.0
unmerged	chr1A	83096874	89032365	0.0
unmerged	chr1A	89032365	94967856	1.5539238406517316e-07
unmerged	chr1A	94967856	100903347	2.1645886482060962e-07
unmerged	chr1A	100903347	106838838	1.3903529100568123e-07
unmerged	chr1A	106838838	112774329	1.0468539558074824e-07
unmerged	chr1A	112774329	118709820	7.960451955619396e-08
unmerged	chr1A	118709820	124645311	2.726182176581985e-09
unmerged	chr1A	124645311	130580802	9.814255835695146e-09
unmerged	chr1A	130580802	136516293	1.1995201576960734e-08
unmerged	chr1A	136516293	142451784	0.0
unmerged	chr1A	142451784	148387275	1.0359492271011543e-08
unmerged	chr1A	148387275	154322766	1.090472870632794e-08
unmerged	chr1A	154322766	160258257	2.4535639589237867e-08
unmerged	chr1A	160258257	166193748	4.3073678389995365e-08
unmerged	chr1A	166193748	172129239	2.180945741265588e-09
unmerged	chr1A	172129239	178064730	0.0
unmerged	chr1A	178064730	184000221	0.0
unmerged	chr1A	184000221	189935712	4.416415126062816e-08
unmerged	chr1A	189935712	195871203	0.0
unmerged	chr1A	195871203	201806694	0.0
unmerged	chr1A	201806694	207742185	7.46973916383464e-08
unmerged	chr1A	207742185	213677676	4.6890333437210146e-08
unmerged	chr1A	213677676	219613167	1.5648285693580596e-07
unmerged	chr1A	219613167	225548658	5.070698848442492e-08
unmerged	chr1A	225548658	231484149	0.0
unmerged	chr1A	231484149	237419640	4.3073678389995365e-08
unmerged	chr1A	237419640	243355131	0.0
unmerged	chr1A	243355131	249290622	0.0
unmerged	chr1A	249290622	255226113	3.7076077601515e-08
unmerged	chr1A	255226113	261161604	4.961651561379213e-08
unmerged	chr1A	261161604	267097095	0.0
unmerged	chr1A	267097095	273032586	0.0
unmerged	chr1A	273032586	278968077	0.0
unmerged	chr1A	278968077	284903568	7.088073659113162e-09
unmerged	chr1A	284903568	290839059	0.0
unmerged	chr1A	290839059	296774550	4.798080630784294e-08
unmerged	chr1A	296774550	302710041	5.032532297970345e-07
unmerged	chr1A	302710041	308645532	1.0959252349859579e-07
unmerged	chr1A	308645532	314581023	4.6890333437210146e-08
unmerged	chr1A	314581023	320516514	0.0
unmerged	chr1A	320516514	326452005	0.0
unmerged	chr1A	326452005	332387496	0.0
unmerged	chr1A	332387496	338322987	2.562611245987066e-08
unmerged	chr1A	338322987	344258478	3.2714186118983825e-09
unmerged	chr1A	344258478	350193969	7.633310094429558e-09
unmerged	chr1A	350193969	356129460	9.541637618036947e-08
unmerged	chr1A	356129460	362064951	2.944276750708544e-08
unmerged	chr1A	362064951	368000442	1.6357093059491912e-09
unmerged	chr1A	368000442	373935933	1.1286394211049419e-07
unmerged	chr1A	373935933	379871424	3.2168949683667425e-08
unmerged	chr1A	379871424	385806915	4.9071279178475734e-08
unmerged	chr1A	385806915	391742406	5.016175204910853e-08
unmerged	chr1A	391742406	397677897	1.3630910882909927e-08
unmerged	chr1A	397677897	403613388	0.0
unmerged	chr1A	403613388	409548879	0.0
unmerged	chr1A	409548879	415484370	0.0
unmerged	chr1A	415484370	421419861	0.0
unmerged	chr1A	421419861	427355352	7.088073659113161e-08
unmerged	chr1A	427355352	433290843	0.0
unmerged	chr1A	433290843	439226334	0.0
unmerged	chr1A	439226334	445161825	1.2049725220492375e-07
unmerged	chr1A	445161825	451097316	9.814255835695147e-08
unmerged	chr1A	451097316	457032807	7.142597302644801e-08
unmerged	chr1A	457032807	462968298	3.462251364259121e-07
unmerged	chr1A	462968298	468903789	2.6716585330503453e-07
unmerged	chr1A	468903789	474839280	8.794663701653484e-07
unmerged	chr1A	474839280	480774771	4.645414428895703e-07
unmerged	chr1A	480774771	486710262	8.113118157507987e-07
unmerged	chr1A	486710262	492645753	3.849369233333763e-07
unmerged	chr1A	492645753	498581244	5.95943423800822e-07
unmerged	chr1A	498581244	504516735	9.966922037583737e-07
unmerged	chr1A	504516735	510452226	7.611500637016903e-07
unmerged	chr1A	510452226	516387717	8.363926917753531e-07
unmerged	chr1A	516387717	522323208	3.65308411661986e-07
unmerged	chr1A	522323208	528258699	3.293228069311038e-07
unmerged	chr1A	528258699	534194190	1.1237322931870942e-06
unmerged	chr1A	534194190	540129681	8.205808351511775e-07
unmerged	chr1A	540129681	546065172	8.053142149623184e-07
unmerged	chr1A	546065172	552000663	9.977826766290066e-08
unmerged	chr1A	552000663	557936154	3.434989542493301e-07
unmerged	chr1A	557936154	563871645	1.433971824882124e-07
unmerged	chr1A	563871645	569807136	2.8624912854110844e-07
unmerged	chr1A	569807136	575742627	5.217912685977919e-07
unmerged	chr1A	575742627	581678118	6.946312185930898e-07
unmerged	chr1A	581678118	587613609	1.2120605957083505e-06
unmerged	chr1A	587613609	593549100	7.616953001370067e-07
unmerged	chr1B	0	6887693	8.814558678795987e-07
unmerged	chr1B	6887693	13775386	7.715088139969622e-07
unmerged	chr1B	13775386	20663079	7.724485324062155e-07
unmerged	chr1B	20663079	27550772	1.7290818730260783e-07
unmerged	chr1B	27550772	34438465	3.044687645980703e-07
unmerged	chr1B	34438465	41326158	4.294513130287597e-07
unmerged	chr1B	41326158	48213851	5.506749878224358e-07
unmerged	chr1B	48213851	55101544	5.243628723633434e-07
unmerged	chr1B	55101544	61989237	4.487155404184524e-07
unmerged	chr1B	61989237	68876930	1.080676170641299e-07
unmerged	chr1B	68876930	75764623	1.4659607184351532e-07
unmerged	chr1B	75764623	82652316	2.161352341282598e-08
unmerged	chr1B	82652316	89540009	1.898231186691673e-07
unmerged	chr1B	89540009	96427702	2.5137467447525867e-07
unmerged	chr1B	96427702	103315395	9.4441700129957e-08
unmerged	chr1B	103315395	110203088	1.1229634990576976e-07
unmerged	chr1B	110203088	117090781	7.705690955877088e-08
unmerged	chr1B	117090781	123978474	4.651606125803852e-08
unmerged	chr1B	123978474	130866167	1.2216339320292945e-08
unmerged	chr1B	130866167	137753860	1.2216339320292945e-08
unmerged	chr1B	137753860	144641553	1.1464564592890302e-07
unmerged	chr1B	144641553	151529246	1.4847550866202195e-07
unmerged	chr1B	151529246	158416939	1.3813860616023562e-07
unmerged	chr1B	158416939	165304632	1.4753579025276862e-07
unmerged	chr1B	165304632	172192325	2.3492960231332587e-08
unmerged	chr1B	172192325	179080018	4.6985920462665174e-08
unmerged	chr1B	179080018	185967711	0.0
unmerged	chr1B	185967711	192855404	5.403380853206495e-08
unmerged	chr1B	192855404	199743097	1.4048790218336886e-07
unmerged	chr1B	199743097	206630790	1.1746480115666294e-08
unmerged	chr1B	206630790	213518483	0.0
unmerged	chr1B	213518483	220406176	2.1143664208199328e-08
unmerged	chr1B	220406176	227293869	9.397184092533033e-10
unmerged	chr1B	227293869	234181562	4.1817469211772005e-08
unmerged	chr1B	234181562	241069255	5.497352694131825e-08
unmerged	chr1B	241069255	247956948	0.0
unmerged	chr1B	247956948	254844641	9.773071456234356e-08
unmerged	chr1B	254844641	261732334	9.021296728831713e-08
unmerged	chr1B	261732334	268620027	0.0
unmerged	chr1B	268620027	275507720	0.0
unmerged	chr1B	275507720	282395413	4.08777508025187e-08
unmerged	chr1B	282395413	289283106	1.3672902854635566e-07
unmerged	chr1B	289283106	296170799	6.953916228474446e-08
unmerged	chr1B	296170799	303058492	1.5458367832216843e-07
unmerged	chr1B	303058492	309946185	7.094873989862442e-08
unmerged	chr1B	309946185	316833878	6.249127421534468e-08
unmerged	chr1B	316833878	323721571	6.718986626161119e-08
unmerged	chr1B	323721571	330609264	3.204439775553765e-07
unmerged	chr1B	330609264	337496957	9.585127774383695e-08
unmerged	chr1B	337496957	344384650	1.625712848008215e-07
unmerged	chr1B	344384650	351272343	0.0
unmerged	chr1B	351272343	358160036	0.0
unmerged	chr1B	358160036	365047729	0.0
unmerged	chr1B	365047729	371935422	0.0
unmerged	chr1B	371935422	378823115	0.0
unmerged	chr1B	378823115	385710808	0.0
unmerged	chr1B	385710808	392598501	1.0618818024562329e-07
unmerged	chr1B	392598501	399486194	7.094873989862442e-08
unmerged	chr1B	399486194	406373887	0.0
unmerged	chr1B	406373887	413261580	3.805859557475879e-08
unmerged	chr1B	413261580	420149273	0.0
unmerged	chr1B	420149273	427036966	0.0
unmerged	chr1B	427036966	433924659	0.0
unmerged	chr1B	433924659	440812352	0.0
unmerged	chr1B	440812352	447700045	1.4565635343426201e-07
unmerged	chr1B	447700045	454587738	1.4612621263888868e-07
unmerged	chr1B	454587738	461475431	2.4667608242899213e-07
unmerged	chr1B	461475431	468363124	1.691493136655946e-08
unmerged	chr1B	468363124	475250817	2.9413186209628396e-07
unmerged	chr1B	475250817	482138510	1.917025554876739e-07
unmerged	chr1B	482138510	489026203	1.644507216193281e-07
unmerged	chr1B	489026203	495913896	2.142557973097532e-07
unmerged	chr1B	495913896	502801589	1.644507216193281e-08
unmerged	chr1B	502801589	509689282	6.061183739683806e-08
unmerged	chr1B	509689282	516576975	1.9499156992006045e-07
unmerged	chr1B	516576975	523464668	2.1660509333288646e-07
unmerged	chr1B	523464668	530352361	1.88883400259914e-07
unmerged	chr1B	530352361	537240054	5.304710420234898e-07
unmerged	chr1B	537240054	544127747	2.1660509333288646e-07
unmerged	chr1B	544127747	551015440	3.509848258561088e-07
unmerged	chr1B	551015440	557903133	3.1198651187209673e-07
unmerged	chr1B	557903133	564790826	5.35639493274383e-07
unmerged	chr1B	564790826	571678519	4.867741359932112e-07
unmerged	chr1B	571678519	578566212	3.4581637460521567e-07
unmerged	chr1B	578566212	585453905	4.0454877518354707e-07
unmerged	chr1B	585453905	592341598	6.507549984079126e-07
unmerged	chr1B	592341598	599229291	2.1237636049124658e-07
unmerged	chr1B	599229291	606116984	4.693893454220251e-07
unmerged	chr1B	606116984	613004677	1.5693297434530167e-07
unmerged	chr1B	613004677	619892370	1.1182649070114312e-06
unmerged	chr1B	619892370	626780063	6.949217636428178e-07
unmerged	chr1B	626780063	633667756	9.57573059029116e-07
unmerged	chr1B	633667756	640555449	9.448868605041966e-07
unmerged	chr1B	640555449	647443142	7.954716334329214e-07
unmerged	chr1B	647443142	654330835	3.270220064201496e-07
unmerged	chr1B	654330835	661218528	1.3165454913638781e-06
unmerged	chr1B	661218528	668106221	1.1281319503085907e-06
unmerged	chr1B	668106221	674993914	8.278919185521603e-07
unmerged	chr1B	674993914	681881607	1.3668204262589299e-06
unmerged	chr1D	0	4951266	3.2092736761750336e-07
unmerged	chr1D	4951266	9902532	1.0431773497302145e-06
unmerged	chr1D	9902532	14853798	1.2791341312168106e-06
unmerged	chr1D	14853798	19805064	3.823676375890824e-07
unmerged	chr1D	19805064	24756330	2.130800852205827e-07
unmerged	chr1D	24756330	29707596	2.137337051138973e-07
unmerged	chr1D	29707596	34658862	2.797493143386791e-07
unmerged	chr1D	34658862	39610128	4.385789484141441e-07
unmerged	chr1D	39610128	44561394	5.974085824896091e-07
unmerged	chr1D	44561394	49512660	7.836902520842903e-07
unmerged	chr1D	49512660	54463926	6.836864084071456e-07
unmerged	chr1D	54463926	59415192	3.3269252569716746e-07
unmerged	chr1D	59415192	64366458	1.4837171578243027e-07
unmerged	chr1D	64366458	69317724	7.385904794455779e-08
unmerged	chr1D	69317724	74268990	1.634049733286677e-07
unmerged	chr1D	74268990	79220256	8.758506570416588e-08
unmerged	chr1D	79220256	84171522	2.9412895199160184e-07
unmerged	chr1D	84171522	89122788	7.209427423260818e-07
unmerged	chr1D	89122788	94074054	9.477488453062726e-08
unmerged	chr1D	94074054	99025320	8.954592538410989e-08
unmerged	chr1D	99025320	103976586	1.5490791471557699e-07
unmerged	chr1D	103976586	108927852	1.3007035876961948e-07
unmerged	chr1D	108927852	113879118	3.75177818762621e-07
unmerged	chr1D	113879118	118830384	3.0066515092474857e-08
unmerged	chr1D	118830384	123781650	2.745203551921617e-07
unmerged	chr1D	123781650	128732916	6.470836943815241e-08
unmerged	chr1D	128732916	133684182	1.9020338895456918e-07
unmerged	chr1D	133684182	138635448	7.059094847798443e-08
unmerged	chr1D	138635448	143586714	2.3922488095316947e-07
unmerged	chr1D	143586714	148537980	1.4379637652922758e-08
unmerged	chr1D	148537980	153489246	1.4379637652922758e-08
unmerged	chr1D	153489246	158440512	1.2614863940973145e-07
unmerged	chr1D	158440512	163391778	0.0
unmerged	chr1D	163391778	168343044	0.0
unmerged	chr1D	168343044	173294310	1.0915452218355003e-07
unmerged	chr1D	173294310	178245576	8.431696623759253e-08
unmerged	chr1D	178245576	183196842	0.0
unmerged	chr1D	183196842	188148108	0.0
unmerged	chr1D	188148108	193099374	0.0
unmerged	chr1D	193099374	198050640	0.0
unmerged	chr1D	198050640	203001906	1.1242262165012339e-07
unmerged	chr1D	203001906	207953172	9.15067850640539e-08
unmerged	chr1D	207953172	212904438	1.5556153460889162e-07
unmerged	chr1D	212904438	217855704	0.0
unmerged	chr1D	217855704	222806970	0.0
unmerged	chr1D	222806970	227758236	1.1111538186349403e-07
unmerged	chr1D	227758236	232709502	3.0720134985789527e-08
unmerged	chr1D	232709502	237660768	9.542850442394194e-08
unmerged	chr1D	237660768	242612034	1.2418777972978745e-08
unmerged	chr1D	242612034	247563300	2.817101740186231e-07
unmerged	chr1D	247563300	252514566	0.0
