Group	Chr	Start	End	Recombination Rate
merged	chr1A	0	5935491	6.144814626015794e-07
merged	chr1A	5935491	11870982	1.1253680024930435e-06
merged	chr1A	11870982	17806473	7.137144938291637e-07
merged	chr1A	17806473	23741964	4.1601540014641095e-07
merged	chr1A	23741964	29677455	7.845952304202953e-07
merged	chr1A	29677455	35612946	4.3782485755906676e-07
merged	chr1A	35612946	41548437	4.0238448926350095e-07
merged	chr1A	41548437	47483928	2.589873067752886e-07
merged	chr1A	47483928	53419419	4.432772219122308e-07
merged	chr1A	53419419	59354910	6.433789936733485e-08
merged	chr1A	59354910	65290401	7.524262807366278e-08
merged	chr1A	65290401	71225892	8.014975599151036e-08
merged	chr1A	71225892	77161383	1.3630910882909927e-08
merged	chr1A	77161383	83096874	0.0
merged	chr1A	83096874	89032365	0.0
merged	chr1A	89032365	94967856	4.961651561379213e-08
merged	chr1A	94967856	100903347	1.1013775993391219e-07
merged	chr1A	100903347	106838838	1.2649485299340412e-07
merged	chr1A	106838838	112774329	1.0250444983948264e-07
merged	chr1A	112774329	118709820	7.960451955619396e-08
merged	chr1A	118709820	124645311	2.726182176581985e-09
merged	chr1A	124645311	130580802	9.814255835695146e-09
merged	chr1A	130580802	136516293	1.1995201576960734e-08
merged	chr1A	136516293	142451784	0.0
merged	chr1A	142451784	148387275	1.0359492271011543e-08
merged	chr1A	148387275	154322766	1.090472870632794e-08
merged	chr1A	154322766	160258257	2.4535639589237867e-08
merged	chr1A	160258257	166193748	4.3073678389995365e-08
merged	chr1A	166193748	172129239	2.180945741265588e-09
merged	chr1A	172129239	178064730	0.0
merged	chr1A	178064730	184000221	0.0
merged	chr1A	184000221	189935712	4.416415126062816e-08
merged	chr1A	189935712	195871203	0.0
merged	chr1A	195871203	201806694	0.0
merged	chr1A	201806694	207742185	7.46973916383464e-08
merged	chr1A	207742185	213677676	4.6890333437210146e-08
merged	chr1A	213677676	219613167	1.5648285693580596e-07
merged	chr1A	219613167	225548658	5.070698848442492e-08
merged	chr1A	225548658	231484149	0.0
merged	chr1A	231484149	237419640	4.3073678389995365e-08
merged	chr1A	237419640	243355131	0.0
merged	chr1A	243355131	249290622	0.0
merged	chr1A	249290622	255226113	3.7076077601515e-08
merged	chr1A	255226113	261161604	4.961651561379213e-08
merged	chr1A	261161604	267097095	0.0
merged	chr1A	267097095	273032586	0.0
merged	chr1A	273032586	278968077	0.0
merged	chr1A	278968077	284903568	7.088073659113162e-09
merged	chr1A	284903568	290839059	0.0
merged	chr1A	290839059	296774550	4.798080630784294e-08
merged	chr1A	296774550	302710041	5.943077144948727e-08
merged	chr1A	302710041	308645532	2.944276750708544e-08
merged	chr1A	308645532	314581023	4.6345097001893744e-08
merged	chr1A	314581023	320516514	0.0
merged	chr1A	320516514	326452005	0.0
merged	chr1A	326452005	332387496	0.0
merged	chr1A	332387496	338322987	2.562611245987066e-08
merged	chr1A	338322987	344258478	3.2714186118983825e-09
merged	chr1A	344258478	350193969	7.633310094429558e-09
merged	chr1A	350193969	356129460	4.852604274315933e-08
merged	chr1A	356129460	362064951	2.944276750708544e-08
merged	chr1A	362064951	368000442	1.6357093059491912e-09
merged	chr1A	368000442	373935933	1.1177346923986137e-07
merged	chr1A	373935933	379871424	5.45236435316397e-10
merged	chr1A	379871424	385806915	4.9071279178475734e-08
merged	chr1A	385806915	391742406	5.016175204910853e-08
merged	chr1A	391742406	397677897	1.3630910882909927e-08
merged	chr1A	397677897	403613388	0.0
merged	chr1A	403613388	409548879	0.0
merged	chr1A	409548879	415484370	0.0
merged	chr1A	415484370	421419861	0.0
merged	chr1A	421419861	427355352	7.088073659113161e-08
merged	chr1A	427355352	433290843	0.0
merged	chr1A	433290843	439226334	0.0
merged	chr1A	439226334	445161825	1.2049725220492375e-07
merged	chr1A	445161825	451097316	9.814255835695147e-08
merged	chr1A	451097316	457032807	7.142597302644801e-08
merged	chr1A	457032807	462968298	3.064228766478151e-07
merged	chr1A	462968298	468903789	1.292210351699861e-07
merged	chr1A	468903789	474839280	6.526480130737272e-07
merged	chr1A	474839280	480774771	2.584420703399722e-07
merged	chr1A	480774771	486710262	5.670458927290529e-07
merged	chr1A	486710262	492645753	2.48627814504277e-07
merged	chr1A	492645753	498581244	4.454581676534964e-07
merged	chr1A	498581244	504516735	7.993166141738381e-07
merged	chr1A	504516735	510452226	5.103413034561476e-07
merged	chr1A	510452226	516387717	7.349787148065032e-07
merged	chr1A	516387717	522323208	3.080585859537643e-07
merged	chr1A	522323208	528258699	1.5648285693580596e-07
merged	chr1A	528258699	534194190	7.742357381492837e-07
merged	chr1A	534194190	540129681	4.4109627617096517e-07
merged	chr1A	540129681	546065172	7.338882419358704e-07
merged	chr1A	546065172	552000663	9.977826766290066e-08
merged	chr1A	552000663	557936154	3.429537178140137e-07
merged	chr1A	557936154	563871645	1.1995201576960734e-08
merged	chr1A	563871645	569807136	2.3172548500946875e-07
merged	chr1A	569807136	575742627	3.6258222948540403e-07
merged	chr1A	575742627	581678118	4.1110827222856333e-07
