Group	Chr	Start	End	Recombination Rate
4	chr1A	0	5935491	5.034520807322676e-07
4	chr1A	5935491	11870982	1.1416866082747482e-06
4	chr1A	11870982	17806473	8.106767756673126e-07
4	chr1A	17806473	23741964	4.737206586417792e-07
4	chr1A	23741964	29677455	7.413034574561735e-07
4	chr1A	29677455	35612946	4.340787625211283e-07
4	chr1A	35612946	41548437	3.2902773780140315e-07
4	chr1A	41548437	47483928	2.0613785982738513e-07
4	chr1A	47483928	53419419	3.7659801314618435e-07
4	chr1A	53419419	59354910	5.153446495684628e-08
4	chr1A	59354910	65290401	5.9462844180976475e-08
4	chr1A	65290401	71225892	6.144493898700902e-08
4	chr1A	71225892	77161383	9.910474030162747e-09
4	chr1A	77161383	83096874	0.0
4	chr1A	83096874	89032365	0.0
4	chr1A	89032365	94967856	5.351655976287883e-08
4	chr1A	94967856	100903347	6.144493898700902e-08
4	chr1A	100903347	106838838	6.937331821113921e-08
4	chr1A	106838838	112774329	8.523007665939961e-08
4	chr1A	112774329	118709820	5.7480749374943925e-08
4	chr1A	118709820	124645311	0.0
4	chr1A	124645311	130580802	9.910474030162747e-09
4	chr1A	130580802	136516293	1.1892568836195295e-08
4	chr1A	136516293	142451784	0.0
4	chr1A	142451784	148387275	5.946284418097648e-09
4	chr1A	148387275	154322766	7.928379224130197e-09
4	chr1A	154322766	160258257	2.576723247842314e-08
4	chr1A	160258257	166193748	1.5856758448260394e-08
4	chr1A	166193748	172129239	0.0
4	chr1A	172129239	178064730	0.0
4	chr1A	178064730	184000221	0.0
4	chr1A	184000221	189935712	9.910474030162747e-09
4	chr1A	189935712	195871203	0.0
4	chr1A	195871203	201806694	0.0
4	chr1A	201806694	207742185	4.757027534478118e-08
4	chr1A	207742185	213677676	3.369561170255334e-08
4	chr1A	213677676	219613167	1.1892568836195295e-07
4	chr1A	219613167	225548658	4.558818053874864e-08
4	chr1A	225548658	231484149	0.0
4	chr1A	231484149	237419640	3.171351689652079e-08
4	chr1A	237419640	243355131	0.0
4	chr1A	243355131	249290622	0.0
4	chr1A	249290622	255226113	1.783885325429294e-08
4	chr1A	255226113	261161604	5.7480749374943925e-08
4	chr1A	261161604	267097095	0.0
4	chr1A	267097095	273032586	0.0
4	chr1A	273032586	278968077	0.0
4	chr1A	278968077	284903568	0.0
4	chr1A	284903568	290839059	0.0
4	chr1A	290839059	296774550	4.955237015081373e-08
4	chr1A	296774550	302710041	4.360608573271608e-08
4	chr1A	302710041	308645532	5.946284418097648e-09
4	chr1A	308645532	314581023	5.351655976287883e-08
4	chr1A	314581023	320516514	0.0
4	chr1A	320516514	326452005	0.0
4	chr1A	326452005	332387496	0.0
4	chr1A	332387496	338322987	2.7749327284455687e-08
4	chr1A	338322987	344258478	1.9820948060325492e-09
4	chr1A	344258478	350193969	1.9820948060325494e-08
4	chr1A	350193969	356129460	4.360608573271608e-08
4	chr1A	356129460	362064951	2.576723247842314e-08
4	chr1A	362064951	368000442	0.0
4	chr1A	368000442	373935933	1.1892568836195295e-07
4	chr1A	373935933	379871424	0.0
4	chr1A	379871424	385806915	5.5498654568911375e-08
4	chr1A	385806915	391742406	5.9462844180976475e-08
4	chr1A	391742406	397677897	1.1892568836195295e-08
4	chr1A	397677897	403613388	0.0
4	chr1A	403613388	409548879	0.0
4	chr1A	409548879	415484370	0.0
4	chr1A	415484370	421419861	0.0
4	chr1A	421419861	427355352	6.739122340510668e-08
4	chr1A	427355352	433290843	0.0
4	chr1A	433290843	439226334	0.0
4	chr1A	439226334	445161825	1.4072873122831097e-07
4	chr1A	445161825	451097316	9.514055068956236e-08
4	chr1A	451097316	457032807	9.315845588352981e-08
4	chr1A	457032807	462968298	2.992963157109149e-07
4	chr1A	462968298	468903789	1.169435935559204e-07
4	chr1A	468903789	474839280	6.124672950640576e-07
4	chr1A	474839280	480774771	3.072246949350451e-07
4	chr1A	480774771	486710262	4.895774170900396e-07
4	chr1A	486710262	492645753	2.9335003129281725e-07
4	chr1A	492645753	498581244	4.43989236551291e-07
4	chr1A	498581244	504516735	8.84014283490517e-07
4	chr1A	504516735	510452226	4.0434734043064005e-07
4	chr1A	510452226	516387717	8.741038094603542e-07
4	chr1A	516387717	522323208	3.052426001290126e-07
4	chr1A	522323208	528258699	1.8037062734896197e-07
4	chr1A	528258699	534194190	7.294108886199782e-07
4	chr1A	534194190	540129681	4.737206586417792e-07
4	chr1A	540129681	546065172	7.670706899345965e-07
4	chr1A	546065172	552000663	9.315845588352981e-08
4	chr1A	552000663	557936154	3.944368664004773e-07
4	chr1A	557936154	563871645	7.928379224130197e-09
4	chr1A	563871645	569807136	2.378513767239059e-07
4	chr1A	569807136	575742627	3.4686659105569607e-07
4	chr1A	575742627	581678118	4.3011457290906323e-07
4	chr1A	581678118	587613609	7.65088595128564e-07
4	chr1A	587613609	593549100	4.65792279417649e-07
4	chr1B	0	6887693	5.824540533212431e-07
4	chr1B	6887693	13775386	5.192552264212842e-07
4	chr1B	13775386	20663079	5.312117612401953e-07
4	chr1B	20663079	27550772	1.0931688977290193e-07
4	chr1B	27550772	34438465	2.6133568961334367e-07
4	chr1B	34438465	41326158	2.1692570314310227e-07
4	chr1B	41326158	48213851	3.501556625538265e-07
4	chr1B	48213851	55101544	3.6894450298354405e-07
4	chr1B	55101544	61989237	1.8788840429717521e-07
4	chr1B	61989237	68876930	1.0248458416209556e-08
4	chr1B	68876930	75764623	3.757768085943504e-08
4	chr1B	75764623	82652316	1.3664611221612741e-08
4	chr1B	82652316	89540009	1.690995638674577e-07
4	chr1B	89540009	96427702	1.4347841782693377e-07
4	chr1B	96427702	103315395	8.198766732967645e-08
4	chr1B	103315395	110203088	1.1956534818911148e-07
4	chr1B	110203088	117090781	3.757768085943504e-08
4	chr1B	117090781	123978474	6.661497970536212e-08
4	chr1B	123978474	130866167	1.0248458416209556e-08
4	chr1B	130866167	137753860	1.3664611221612741e-08
4	chr1B	137753860	144641553	1.7080764027015927e-08
4	chr1B	144641553	151529246	1.400622650215306e-07
4	chr1B	151529246	158416939	1.0590073696749875e-07
4	chr1B	158416939	165304632	2.9037298845927076e-08
4	chr1B	165304632	172192325	1.7080764027015926e-09
4	chr1B	172192325	179080018	5.978267409455574e-08
4	chr1B	179080018	185967711	0.0
4	chr1B	185967711	192855404	5.807459769185415e-08
4	chr1B	192855404	199743097	2.9037298845927076e-08
4	chr1B	199743097	206630790	1.3664611221612741e-08
4	chr1B	206630790	213518483	0.0
4	chr1B	213518483	220406176	2.0496916832419112e-08
4	chr1B	220406176	227293869	0.0
4	chr1B	227293869	234181562	2.9037298845927076e-08
4	chr1B	234181562	241069255	4.6118062872943007e-08
4	chr1B	241069255	247956948	0.0
4	chr1B	247956948	254844641	6.661497970536212e-08
4	chr1B	254844641	261732334	5.636652128915256e-08
4	chr1B	261732334	268620027	0.0
4	chr1B	268620027	275507720	0.0
4	chr1B	275507720	282395413	2.5621146040523894e-08
4	chr1B	282395413	289283106	1.38354188618829e-07
4	chr1B	289283106	296170799	8.711189653778123e-08
4	chr1B	296170799	303058492	1.2127342459181309e-07
4	chr1B	303058492	309946185	6.832305610806371e-08
4	chr1B	309946185	316833878	4.953421567834619e-08
4	chr1B	316833878	323721571	6.490690330266052e-08
4	chr1B	323721571	330609264	3.3478297492951217e-07
4	chr1B	330609264	337496957	9.736035495399078e-08
4	chr1B	337496957	344384650	2.0667724472689274e-07
4	chr1B	344384650	351272343	0.0
4	chr1B	351272343	358160036	0.0
4	chr1B	358160036	365047729	0.0
4	chr1B	365047729	371935422	0.0
4	chr1B	371935422	378823115	0.0
4	chr1B	378823115	385710808	0.0
4	chr1B	385710808	392598501	1.3322995941072423e-07
